commit,date,change_type,parent_schema,property_context,old_value,new_value,actions_url
c146c33ab151,2025-02-06,removed,AlertAudit,groupId,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,AlertAudit,id,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,AlertAudit,orgId,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,AlertAudit,userId,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,AlertConfigAudit,alertConfigId,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,AlertConfigAudit,apiKeyId,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,AlertConfigAudit,groupId,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,AlertConfigAudit,id,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,AlertConfigAudit,orgId,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,AlertConfigAudit,userId,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,AlertConfigView,groupId,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,AlertConfigView,id,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,AlertView,alertConfigId,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,AlertView,groupId,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,AlertView,id,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,AlertView,orgId,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,ApiAtlasCheckpointView,clusterId,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,ApiAtlasCheckpointView,groupId,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,ApiAtlasCheckpointView,id,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
c146c33ab151,2025-02-06,removed,ApiAtlasNonCompliantResourceView,orgId,24,,https://github.com/mongodb/openapi/actions/runs/13186041500
